,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1303.0,393970002.0,0.0,0.0,0.0,0.1901034,-0.1942717,-0.1942717,-0.14,,0.0,-3.632158e-07,-1.0,-1.0
1,1631.0,394070046.0,0.0,0.0,0.0,0.1901034,-0.1973354,-0.1973354,-0.18,,0.0,-3.632158e-07,-1.0,-1.0
2,1703.0,394169959.0,0.0,0.0,0.0,0.1901034,-0.2007126,-0.2007126,-0.29,,0.0,-0.01000036,-1.0,-1.0
3,1769.0,394269997.0,0.0,0.0,0.0,0.1901034,-0.2046344,-0.2046344,-0.2,,0.0,-0.01000036,-1.0,-1.0
4,1838.0,394369942.0,0.0,0.0,0.0,0.1901034,-0.2107951,-0.2107951,-0.06,,0.0,-0.02000036,-1.0,-1.0
5,1909.0,394470030.0,0.0,0.0,0.0,0.1901034,-0.2164399,-0.2164399,-0.13,,0.0,-0.02000036,-1.0,-1.0
6,1980.0,394569978.0,0.0,0.0,0.0,0.1901034,-0.2221478,-0.2221478,-0.15,,0.0,-0.03000036,-1.0,-1.0
7,2053.0,394669992.0,0.0,0.0,0.0,0.1901034,-0.2274727,-0.2274727,-0.12,,0.0,-0.03000036,-2.0,-2.0
8,2122.0,394770027.0,0.0,0.0,0.0,0.1901034,-0.2339654,-0.2339654,-0.01,,0.0,-0.04000036,-2.0,-2.0
9,2193.0,394869998.0,0.0,0.0,0.0,0.1901034,-0.2395725,-0.2395725,-0.33,,0.0,-0.04000036,-2.0,-2.0
10,2262.0,394970008.0,0.0,0.0,0.0,0.1901034,-0.2448205,-0.2448205,-0.12,,0.0,-0.05010717,-2.0,-2.0
11,2333.0,395070065.0,0.0,0.0,0.0,0.1901034,-0.249739,-0.249739,-0.04,,0.0,-0.05010717,-2.0,-2.0
12,2405.0,395169951.0,0.0,0.0,0.0,0.1901034,-0.2546789,-0.2546789,-0.07,,0.0,-0.06010717,-2.0,-2.0
13,2474.0,395270003.0,0.0,0.0,0.0,0.1901034,-0.2589011,-0.2589011,-0.14,,0.0,-0.06010717,-2.0,-2.0
14,2545.0,395370003.0,0.0,0.0,0.0,0.1901034,-0.2632303,-0.2632303,-0.2,,0.0,-0.07010718,-2.0,-2.0
15,2614.0,395469950.0,0.0,0.0,0.0,0.1901034,-0.2674918,-0.2674918,0.0,,0.0,-0.07021971,-3.0,-3.0
16,2689.0,395569916.0,0.0,0.0,0.0,0.1901034,-0.2730595,-0.2730595,-0.14,,0.0,-0.08021971,-3.0,-3.0
17,2760.0,395670056.0,0.0,0.0,0.0,0.1901034,-0.278675,-0.278675,-0.1,,0.0,-0.08021971,-3.0,-3.0
18,2829.0,395770001.0,0.0,0.0,0.0,0.1901034,-0.2865523,-0.2865523,-0.12,,0.0,-0.09021971,-3.0,-3.0
19,2902.0,395869990.0,0.0,0.0,0.0,0.1901034,-0.2943509,-0.2943509,-0.06,,0.0,-0.1002197,-3.0,-3.0
20,2971.0,395970040.0,0.0,0.0,0.0,0.1901034,-0.3046781,-0.3046781,0.01,,0.0,-0.1102197,-4.0,-4.0
21,3042.0,396069936.0,0.0,0.0,0.0,0.1901034,-0.3140304,-0.3140304,-0.21,,0.0,-0.1202197,-4.0,-4.0
22,3113.0,396170020.0,0.0,0.0,0.0,0.1901034,-0.3245946,-0.3245946,-0.13,,0.0,-0.1302197,-4.0,-4.0
23,3183.0,396270013.0,0.0,0.0,0.0,0.1901034,-0.3343288,-0.3343288,-0.15,,0.0,-0.1402197,-4.0,-4.0
