,0,1,2,3
0,1306.0,393970007.0,0.0,40.0
1,1632.0,394070052.0,0.0,40.0
2,1704.0,394169964.0,0.0,40.0
3,1770.0,394270003.0,0.0,40.0
4,1839.0,394369947.0,0.0,40.0
5,1910.0,394470036.0,0.0,40.0
6,1981.0,394569985.0,0.0,40.0
7,2054.0,394669997.0,0.0,40.0
8,2123.0,394770050.0,0.0,40.0
9,2194.0,394870004.0,0.0,40.0
10,2263.0,394970013.0,0.0,40.0
11,2334.0,395070072.0,0.0,40.0
12,2406.0,395169955.0,0.0,40.0
13,2475.0,395270008.0,0.0,40.0
14,2546.0,395370021.0,0.0,40.0
15,2615.0,395469967.0,0.0,40.0
16,2690.0,395569921.0,0.0,40.0
17,2761.0,395670061.0,0.0,40.0
18,2830.0,395770027.0,0.0,40.0
19,2903.0,395869997.0,0.0,40.0
20,2972.0,395970045.0,0.0,40.0
21,3043.0,396069940.0,0.0,40.0
22,3114.0,396170026.0,0.0,40.0
23,3184.0,396270018.0,0.0,40.0
24,3254.0,396369985.0,0.0,40.0
25,3323.0,396470012.0,0.0,40.0
26,3395.0,396570038.0,0.0,40.0
27,3466.0,396670001.0,0.0,40.0
28,3538.0,396770058.0,0.0,40.0
29,3610.0,396870013.0,0.0,40.0
30,3679.0,396969996.0,0.0,40.0
31,3749.0,397069954.0,0.0,40.0
32,3821.0,397170009.0,0.0,40.0
33,3890.0,397270029.0,0.0,40.0
34,3961.0,397369960.0,0.0,40.0
35,4031.0,397470078.0,0.0,40.0
36,4101.0,397570034.0,0.0,40.0
37,4174.0,397670001.0,0.0,40.0
38,4243.0,397770007.0,0.0,40.0
39,4315.0,397870004.0,0.0,40.0
40,4383.0,397970006.0,0.0,40.0
41,4453.0,398069981.0,0.0,40.0
42,4525.0,398169995.0,0.0,40.0
43,4595.0,398270023.0,0.0,40.0
44,4665.0,398369963.0,0.0,40.0
45,4735.0,398469987.0,0.0,40.0
46,4808.0,398570048.0,0.0,40.0
47,4880.0,398669958.0,0.0,40.0
