,0,1,2,3,4,5,6
0,1274.0,393967739.0,4.979205,0.04835165,1.0,1.0,6.0
1,1622.0,394067668.0,4.981925,0.04835165,1.0,1.0,6.0
2,1689.0,394167672.0,4.997031,0.04835165,1.0,1.0,6.0
3,1761.0,394267653.0,4.992599,0.05802198,1.0,1.0,6.0
4,1827.0,394367704.0,4.988369,0.04835165,1.0,1.0,6.0
5,1901.0,394467687.0,4.988772,0.05318681,1.0,1.0,6.0
6,1968.0,394567678.0,4.989478,0.05076923,1.0,1.0,6.0
7,2045.0,394667682.0,4.9927,0.04835165,1.0,1.0,6.0
8,2111.0,394767722.0,4.994412,0.05318681,1.0,1.0,6.0
9,2185.0,394867661.0,4.991592,0.04351648,1.0,1.0,6.0
10,2251.0,394967701.0,5.017071,0.04593406,1.0,1.0,6.0
11,2325.0,395067726.0,5.023416,0.04835165,1.0,1.0,6.0
12,2391.0,395167718.0,5.026941,0.04835165,1.0,1.0,6.0
13,2466.0,395267667.0,5.025733,0.04835165,1.0,1.0,6.0
14,2533.0,395367722.0,5.022711,0.05318681,1.0,1.0,6.0
15,2606.0,395467697.0,5.025934,0.04835165,1.0,1.0,6.0
16,2678.0,395567714.0,5.025128,0.05318681,1.0,1.0,6.0
17,2752.0,395667731.0,5.02674,0.04835165,1.0,1.0,6.0
18,2818.0,395767708.0,5.02251,0.04835165,1.0,1.0,6.0
19,2893.0,395867705.0,5.020596,0.05076923,1.0,1.0,6.0
20,2960.0,395967718.0,5.023416,0.04835165,1.0,1.0,6.0
21,3034.0,396067769.0,5.023718,0.05318681,1.0,1.0,6.0
22,3100.0,396167709.0,5.024323,0.04593406,1.0,1.0,6.0
23,3175.0,396267726.0,5.029761,0.05318681,1.0,1.0,6.0
24,3242.0,396367757.0,5.017474,0.04835165,1.0,1.0,6.0
25,3314.0,396467702.0,5.02261,0.07494505,1.0,1.0,6.0
26,3383.0,396567740.0,5.024624,0.04351648,1.0,1.0,6.0
27,3457.0,396667715.0,5.025531,0.05076923,1.0,1.0,6.0
28,3525.0,396767724.0,5.025833,0.06527472,1.0,1.0,6.0
