,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1276.0,393967771.0,0.0,50.49651,50.59357,0.1250416,21.2385,1.073946,0.0,0.776291,99.0,1.0,0.0
1,1624.0,394067681.0,0.0,50.49407,50.57653,0.1062214,21.24145,1.074095,0.0,0.776291,99.0,1.0,0.0
2,1691.0,394167709.0,0.0,50.50167,50.59706,0.1228876,21.24487,1.074267,0.0,0.776291,99.0,1.0,0.0
3,1763.0,394267666.0,0.0,50.49791,50.59923,0.1305178,21.24849,1.07445,0.0,0.776291,99.0,1.0,0.0
4,1829.0,394367717.0,0.0,50.50341,50.60785,0.1345337,21.25223,1.074639,0.0,0.776291,99.0,1.0,0.0
5,1903.0,394467740.0,0.0,50.50588,50.59863,0.119474,21.25555,1.074807,0.0,0.776291,99.0,1.0,0.0
6,1970.0,394567719.0,0.0,50.5057,50.60655,0.1299154,21.25916,1.074989,0.0,0.776291,99.0,1.0,0.0
7,2047.0,394667695.0,0.0,50.49963,50.5961,0.1242708,21.26261,1.075163,0.0,0.776291,99.0,1.0,0.0
8,2113.0,394767738.0,0.0,50.5068,50.60968,0.1325258,21.26629,1.075349,0.0,0.776291,99.0,1.0,0.0
9,2187.0,394867674.0,0.0,50.4959,50.59378,0.1261003,21.26979,1.075526,0.0,0.776291,99.0,1.0,0.0
10,2253.0,394967714.0,0.0,50.51916,50.64105,0.157023,21.27416,1.075747,0.0,0.776291,99.0,1.0,0.0
11,2327.0,395067739.0,0.0,50.5448,50.69912,0.1987887,21.27968,1.076026,0.0,0.776291,99.0,1.0,0.0
12,2393.0,395167749.0,0.0,50.53994,50.69317,0.1973831,21.28517,1.076303,0.0,0.776291,99.0,1.0,0.0
13,2468.0,395267679.0,0.0,50.53701,50.68977,0.1967807,21.29063,1.076579,0.0,0.776291,99.0,1.0,0.0
14,2535.0,395367754.0,0.0,50.54425,50.70324,0.2048126,21.29632,1.076867,0.0,0.776291,99.0,1.0,0.0
15,2608.0,395467710.0,0.0,50.54369,50.69941,0.2005959,21.30189,1.077148,0.0,0.776291,99.0,1.0,0.0
16,2680.0,395567727.0,0.0,50.5444,50.70357,0.2050357,21.30759,1.077436,0.0,0.776291,99.0,1.0,0.0
17,2754.0,395667744.0,0.0,50.54443,50.7028,0.2040094,21.31326,1.077723,0.0,0.776291,99.0,1.0,0.0
18,2820.0,395767721.0,0.0,50.54608,50.70461,0.2042102,21.31893,1.078009,0.0,0.776291,99.0,1.0,0.0
19,2895.0,395867718.0,0.0,50.53903,50.69366,0.1991903,21.32446,1.078289,0.0,0.776291,99.0,1.0,0.0
20,2962.0,395967731.0,0.0,50.54901,50.70302,0.1983871,21.32998,1.078568,0.0,0.776291,99.0,1.0,0.0
21,3036.0,396067782.0,0.0,50.54187,50.69837,0.2015999,21.33558,1.078851,0.0,0.776291,99.0,1.0,0.0
22,3102.0,396167741.0,0.0,50.54827,50.70384,0.2003951,21.34114,1.079132,0.0,0.776291,99.0,1.0,0.0
23,3177.0,396267757.0,0.0,50.53692,50.69554,0.2048126,21.34683,1.07942,0.0,0.7744372,99.0,1.0,0.0
24,3244.0,396367770.0,0.0,50.54297,50.70096,0.2040094,21.3525,1.079706,0.0,0.7744372,99.0,1.0,0.0
25,3316.0,396467715.0,0.0,50.53087,50.67842,0.1905337,21.35779,1.079974,0.0,0.7744372,99.0,1.0,0.0
26,3385.0,396567753.0,0.0,50.52996,50.68049,0.1943712,21.3632,1.080247,0.0,0.7744372,99.0,1.0,0.0
27,3459.0,396667746.0,0.0,50.53198,50.68834,0.2018006,21.3688,1.08053,0.0,0.7748125,99.0,1.0,0.0
28,3528.0,396767740.0,0.0,50.52428,50.67805,0.1971823,21.37428,1.080806,0.0,0.779842,99.0,1.0,0.0
29,3603.0,396867666.0,0.0,50.53784,50.69139,0.1965799,21.37974,1.081082,0.0,0.7811254,99.0,1.0,0.0
30,3669.0,396967724.0,0.0,50.53949,50.69287,0.1959775,21.38518,1.081357,0.0,0.7826874,99.0,1.0,0.0
31,3742.0,397067749.0,0.0,50.53362,50.68654,0.1953751,21.39061,1.081632,0.0,0.7826874,99.0,1.0,0.0
32,3808.0,397167805.0,0.0,50.54095,50.69576,0.1977847,21.39611,1.08191,0.0,0.7826874,99.0,1.0,0.0
33,3883.0,397267736.0,0.0,50.53765,50.68991,0.194572,21.40151,1.082183,0.0,0.7825289,99.0,1.0,0.0
34,3951.0,397367733.0,0.0,50.53117,50.68943,0.2021353,21.40713,1.082466,0.0,0.7828969,99.0,1.0,0.0
35,4024.0,397467723.0,0.0,50.52392,50.67467,0.192564,21.41247,1.082737,0.0,0.7828969,99.0,1.0,0.0
36,4091.0,397567705.0,0.0,50.5307,50.68428,0.1961783,21.41792,1.083012,0.0,0.7828969,99.0,1.0,0.0
37,4167.0,397667728.0,0.0,50.52712,50.67757,0.1921624,21.42326,1.083282,0.0,0.7828969,99.0,1.0,0.0
38,4233.0,397767780.0,0.0,50.51797,50.67093,0.1953751,21.42869,1.083556,0.0,0.7828969,99.0,1.0,0.0
39,4307.0,397867687.0,0.0,50.51888,50.66335,0.1845321,21.43381,1.083815,0.0,0.7828969,99.0,1.0,0.0
40,4373.0,397967718.0,0.0,50.51659,50.67183,0.1973831,21.4393,1.084092,0.0,0.7865101,99.0,1.0,0.0
41,4446.0,398067705.0,0.0,50.51073,50.6595,0.1891504,21.44455,1.084357,0.0,0.7865101,99.0,1.0,0.0
42,4513.0,398167765.0,0.0,50.51394,50.65607,0.180717,21.44958,1.084611,0.0,0.7865101,99.0,1.0,0.0
43,4588.0,398267751.0,0.0,50.52069,50.66932,0.188972,21.45482,1.084876,0.0,0.7865101,99.0,1.0,0.0
44,4655.0,398367803.0,0.0,50.52282,50.67054,0.1879457,21.46005,1.08514,0.0,0.7859585,99.0,1.0,0.0
45,4728.0,398467711.0,0.0,50.50075,50.65294,0.19156,21.46536,1.085409,0.0,0.7944682,99.0,1.0,0.0
46,4797.0,398567712.0,0.0,50.50954,50.65599,0.1843313,21.47049,1.085667,0.0,0.7944682,99.0,1.0,0.0
47,4873.0,398667758.0,0.0,50.50496,50.64854,0.180717,21.47551,1.085921,0.0,0.7944682,99.0,1.0,0.0
48,4939.0,398767701.0,0.0,50.51604,50.66251,0.1845321,21.48063,1.08618,0.0,0.7937375,99.0,1.0,0.0
49,5014.0,398867705.0,0.0,50.50459,50.6517,0.1853353,21.48578,1.08644,0.0,0.7937375,99.0,1.0,0.0
50,5079.0,398967748.0,0.0,50.50634,50.65233,0.1839297,21.49089,1.086698,0.0,0.7937375,99.0,1.0,0.0
51,5153.0,399067784.0,0.0,50.50645,50.64618,0.1760317,21.49578,1.086945,0.0,0.7937375,99.0,1.0,0.0
52,5220.0,399167706.0,0.0,50.50396,50.64979,0.1837289,21.50088,1.087203,0.0,0.7937375,99.0,1.0,0.0
53,5294.0,399267764.0,0.0,50.49819,50.63972,0.1783074,21.50584,1.087453,0.0,0.7937375,99.0,1.0,0.0
54,5362.0,399367707.0,0.0,50.48756,50.63868,0.1887489,21.51108,1.087718,0.0,0.8006039,99.0,1.0,0.0
55,5434.0,399467703.0,0.0,50.49013,50.63529,0.1813194,21.51612,1.087972,0.0,0.8006039,99.0,1.0,0.0
56,5502.0,399567710.0,0.0,50.49718,50.63913,0.1773035,21.52104,1.088221,0.0,0.8006039,99.0,1.0,0.0
57,5577.0,399667776.0,0.0,50.50496,50.64633,0.1767011,21.52595,1.088469,0.0,0.8000473,99.0,1.0,0.0
58,5643.0,399767783.0,0.0,50.50854,50.6589,0.1879457,21.53118,1.088732,0.0,0.8000473,99.0,1.0,0.0
59,5718.0,399867718.0,0.0,50.49874,50.64883,0.1875441,21.53638,1.088995,0.0,0.8002861,99.0,1.0,0.0
60,5784.0,399967787.0,0.0,50.51194,50.66871,0.1958883,21.54183,1.08927,0.0,0.8002861,99.0,1.0,0.0
61,5858.0,400067751.0,0.0,50.50057,50.65509,0.1933672,21.5472,1.089542,0.0,0.7991226,99.0,1.0,0.0
62,5925.0,400167792.0,0.0,50.4992,50.64618,0.1839297,21.55231,1.0898,0.0,0.7991226,99.0,1.0,0.0
63,5999.0,400267738.0,0.0,50.49901,50.65427,0.194572,21.55771,1.090072,0.0,0.7979439,99.0,1.0,0.0
64,6066.0,400367769.0,0.0,50.50194,50.65206,0.1881465,21.56294,1.090336,0.0,0.7978857,99.0,1.0,0.0
65,6139.0,400467703.0,0.0,50.50093,50.64176,0.1765003,21.56784,1.090584,0.0,0.7978857,99.0,1.0,0.0
66,6207.0,400567723.0,0.0,50.50057,50.65095,0.1885481,21.57308,1.090848,0.0,0.7975675,99.0,1.0,0.0
67,6281.0,400667765.0,0.0,50.50075,50.64472,0.1805162,21.57809,1.091102,0.0,0.7975675,99.0,1.0,0.0
68,6348.0,400767763.0,0.0,50.49883,50.63976,0.1767011,21.583,1.09135,0.0,0.7975675,99.0,1.0,0.0
69,6423.0,400867724.0,0.0,50.50289,50.65058,0.1851791,21.58815,1.091609,0.0,0.7975675,99.0,1.0,0.0
70,6491.0,400967716.0,0.0,50.4937,50.63879,0.1819218,21.5932,1.091865,0.0,0.7975675,99.0,1.0,0.0
71,6565.0,401067755.0,0.0,50.49516,50.6409,0.182725,21.59828,1.092121,0.0,0.7975675,99.0,1.0,0.0
72,6632.0,401167728.0,0.0,50.49287,50.64227,0.1869417,21.60347,1.092383,0.0,0.7991325,99.0,1.0,0.0
73,6708.0,401267725.0,0.0,50.50295,50.64631,0.1793114,21.60845,1.092635,0.0,0.7994941,99.0,1.0,0.0
74,6776.0,401367781.0,0.0,50.49727,50.64827,0.1891504,21.61371,1.0929,0.0,0.798278,99.0,1.0,0.0
75,6848.0,401467780.0,0.0,50.50121,50.64717,0.182725,21.61878,1.093156,0.0,0.7987893,99.0,1.0,0.0
76,6916.0,401567747.0,0.0,50.50167,50.64774,0.182725,21.62386,1.093413,0.0,0.799407,99.0,1.0,0.0
77,6990.0,401667752.0,0.0,50.49645,50.63899,0.1783074,21.62881,1.093663,0.0,0.799407,99.0,1.0,0.0
78,7055.0,401767842.0,0.0,50.49454,50.64624,0.1898644,21.63409,1.093929,0.0,0.7989609,99.0,1.0,0.0
79,7134.0,401867718.0,0.0,50.49681,50.64328,0.1833273,21.63918,1.094186,0.0,0.7989609,99.0,1.0,0.0
80,7200.0,401967773.0,0.0,50.49691,50.6472,0.1883473,21.64441,1.094451,0.0,0.7979658,99.0,1.0,0.0
81,7274.0,402067763.0,0.0,50.49489,50.64054,0.1825242,21.64948,1.094707,0.0,0.7979658,99.0,1.0,0.0
82,7341.0,402167730.0,0.0,50.49892,50.64906,0.1881465,21.65471,1.094971,0.0,0.7979658,99.0,1.0,0.0
83,7415.0,402267728.0,0.0,50.50386,50.65335,0.1873433,21.65991,1.095233,0.0,0.7979658,99.0,1.0,0.0
84,7483.0,402367775.0,0.0,50.4991,50.65068,0.1899536,21.66519,1.0955,0.0,0.7979658,99.0,1.0,0.0
85,7555.0,402467718.0,0.0,50.4991,50.64594,0.1841305,21.6703,1.095758,0.0,0.7974521,99.0,1.0,0.0
86,7623.0,402567722.0,0.0,50.49892,50.64653,0.1851345,21.67545,1.096018,0.0,0.7972841,99.0,1.0,0.0
87,7697.0,402667794.0,0.0,50.49576,50.64109,0.1822787,21.68051,1.096274,0.0,0.7972841,99.0,1.0,0.0
88,7763.0,402767725.0,0.0,50.49663,50.64996,0.1927648,21.68587,1.096544,0.0,0.7954371,99.0,1.0,0.0
89,7839.0,402867756.0,0.0,50.49754,50.64545,0.1859377,21.69103,1.096805,0.0,0.7954371,99.0,1.0,0.0
90,7905.0,402967749.0,0.0,50.49416,50.64562,0.1903552,21.69632,1.097072,0.0,0.7956803,99.0,1.0,0.0
91,7978.0,403067740.0,0.0,50.49141,50.64,0.1867409,21.70151,1.097334,0.0,0.7956803,99.0,1.0,0.0
92,8042.0,403167709.0,0.0,50.49727,50.6442,0.1847329,21.70664,1.097593,0.0,0.7953343,99.0,1.0,0.0
93,8110.0,403267705.0,0.0,50.50157,50.64929,0.1853353,21.71179,1.097853,0.0,0.7970457,99.0,1.0,0.0
94,8170.0,403367743.0,0.0,50.5078,50.6542,0.1829258,21.71687,1.09811,0.0,0.8002757,99.0,1.0,0.0
95,8235.0,403467733.0,0.0,50.49637,50.64153,0.1813863,21.72191,1.098364,0.0,0.8002757,99.0,1.0,0.0
96,8295.0,403567741.0,0.0,50.49562,50.65037,0.1937688,21.72729,1.098636,0.0,0.7986223,99.0,1.0,0.0
97,8362.0,403667721.0,0.0,50.49123,50.63218,0.1765003,21.73219,1.098883,0.0,0.7986223,99.0,1.0,0.0
98,8420.0,403767740.0,0.0,50.49471,50.64921,0.1939696,21.73758,1.099156,0.0,0.796527,99.0,1.0,0.0
99,8487.0,403867732.0,0.0,50.50615,50.65255,0.1831265,21.74267,1.099412,0.0,0.7994418,99.0,1.0,0.0
100,8546.0,403967724.0,0.0,50.49516,50.64611,0.1887489,21.74791,1.099677,0.0,0.7997344,99.0,1.0,0.0
