,0,1,2,3,4,5,6,7,8
0,38.0,361814067.0,0.0001401848,-2.022486,0.0003736606,0.3173607,288.5547,288.6538,3.0
1,1434.0,361913913.0,0.0001455704,-2.020022,0.0003715955,0.3174078,289.3828,288.6533,3.0
2,1755.0,362013883.0,0.0001589493,-2.019276,0.0003660724,0.3162036,291.4609,288.6544,3.0
3,1836.0,362113912.0,0.000179914,-2.021612,0.0003562368,0.3137684,294.786,288.6526,3.0
4,1908.0,362213906.0,0.0002064863,-2.022445,0.0003415218,0.3145865,299.1478,288.6526,3.0
5,1985.0,362313832.0,0.000235524,-2.021137,0.0003221839,0.312971,304.1581,288.6565,3.0
6,2061.0,362413868.0,0.0002648073,-2.021061,0.0002985823,0.3085245,309.5596,288.6585,3.0
7,2152.0,362513871.0,0.000292861,-2.019738,0.0002711213,0.309977,315.1978,288.6576,3.0
8,2225.0,362613868.0,0.0003186816,-2.015586,0.0002402422,0.3084447,320.9791,288.6613,3.0
9,2305.0,362713852.0,0.0003415724,-2.015038,0.0002064042,0.3096417,326.8468,288.6671,3.0
10,2380.0,362813875.0,0.0003609822,-2.009196,0.0001701956,0.3120822,332.7474,288.6665,3.0
11,2460.0,362913860.0,0.0003862931,-2.009422,0.0001286189,0.310898,333.703,288.6664,3.0
12,2533.0,363013866.0,0.0003672121,-2.007589,0.0001508526,0.3101877,333.6853,288.6757,3.0
13,2616.0,363113916.0,0.000377543,-2.005948,0.0001325581,0.3106643,333.6509,288.6717,3.0
14,2688.0,363213859.0,0.0003357517,-2.005031,0.0001844776,0.3108948,333.6149,288.6649,3.0
15,2766.0,363313886.0,0.0003703127,-2.004329,0.0001321992,0.3134589,333.6033,288.6723,3.0
16,2845.0,363413871.0,0.0003850637,-2.006364,0.000110422,0.315178,333.5893,288.6694,3.0
17,2934.0,363513839.0,0.0003296376,-2.004258,0.0001788205,0.3145116,333.5819,288.6692,3.0
18,3009.0,363613919.0,0.0003653448,-2.006591,0.0001257781,0.3165479,333.5883,288.6797,3.0
19,3090.0,363713857.0,0.0003482447,-2.008217,0.0001467247,0.316035,333.5829,288.6765,3.0
20,3165.0,363813917.0,0.0003250484,-2.005503,0.0001740133,0.3159825,288.5643,288.6694,3.0
21,3244.0,363913876.0,0.0003250485,-2.009188,0.0001740134,0.3179929,288.5732,288.6763,3.0
22,3317.0,364013874.0,0.0003250484,-2.005003,0.0001740134,0.316112,288.5715,288.6744,3.0
23,3400.0,364113867.0,0.0003250485,-2.005355,0.0001740134,0.3157255,288.5709,288.6738,3.0
24,3473.0,364213825.0,0.0003250485,-2.004836,0.0001740134,0.3164732,288.5781,288.681,3.0
25,3552.0,364313846.0,0.0003250486,-2.006023,0.0001740134,0.3154179,288.5793,288.6821,3.0
26,3625.0,364413878.0,0.0003250486,-2.004493,0.0001740134,0.3153876,288.5793,288.6833,3.0
27,3714.0,364513912.0,0.0003250486,-2.006552,0.0001740134,0.3182774,288.5793,288.6888,3.0
28,3790.0,364613862.0,0.0003250486,-2.007669,0.0001740134,0.3162429,288.5793,288.6837,3.0
29,3871.0,364713940.0,0.0003250486,-2.007262,0.0001740134,0.3187555,288.5793,288.6907,3.0
30,3945.0,364813850.0,0.0003250486,-2.006561,0.0001740134,0.3203265,288.5793,288.698,3.0
31,4025.0,364913952.0,0.0003250486,-2.003356,0.0001740134,0.3168887,288.5793,288.6762,3.0
32,4098.0,365013892.0,0.0003250486,-2.002828,0.0001740134,0.3204496,288.5793,288.6877,3.0
33,4180.0,365113866.0,0.0003250486,-2.00348,0.0001740134,0.3182847,288.5793,288.7087,3.0
34,4253.0,365213916.0,0.0003250486,-2.005479,0.0001740134,0.3137659,288.5793,288.6821,3.0
35,4333.0,365313898.0,0.0003250486,-2.00983,0.0001740134,0.3186368,288.5793,288.6865,3.0
36,4407.0,365413845.0,0.0003250486,-2.000815,0.0001740134,0.3138751,288.5793,288.7043,3.0
37,4496.0,365513862.0,0.0003250486,-2.003055,0.0001740134,0.3133699,288.5793,288.6872,3.0
38,4574.0,365613932.0,0.0003250486,-2.005666,0.0001740134,0.3158143,288.5793,288.6837,3.0
39,4654.0,365713878.0,0.0003250486,-1.998618,0.0001740134,0.3128737,288.5793,288.7056,3.0
40,4727.0,365813948.0,0.0003250486,-2.007089,0.0001740134,0.3098169,288.5793,288.6992,3.0
41,4807.0,365913912.0,0.0003250486,-1.994539,0.0001740134,0.315416,288.5793,288.6713,3.0
42,4880.0,366013882.0,0.0003250486,-2.011755,0.0001740134,0.3214396,288.5793,288.7144,3.0
43,4962.0,366113931.0,0.0003250486,-1.997273,0.0001740134,0.3091098,288.5793,288.7048,3.0
44,5035.0,366213849.0,0.0003250486,-1.995219,0.0001740134,0.3090494,288.5793,288.6688,3.0
45,5115.0,366313919.0,0.0003250486,-2.012286,0.0001740134,0.3177788,288.5793,288.7192,3.0
46,5189.0,366413879.0,0.0003250486,-1.98691,0.0001740134,0.3129712,288.5793,288.7026,3.0
47,5278.0,366513872.0,0.0003250486,-2.027982,0.0001740134,0.3212731,288.5793,288.6985,3.0
48,5353.0,366613847.0,0.0003250486,-1.989874,0.0001740134,0.3243268,288.5793,288.6952,3.0
49,5433.0,366713911.0,0.0003250486,-2.029063,0.0001740134,0.3154062,288.5793,288.7053,3.0
50,5507.0,366813855.0,0.0003250486,-2.006546,0.0001740134,0.321665,288.5793,288.7015,3.0
51,5586.0,366913863.0,0.0003250486,-2.001171,0.0001740134,0.3196281,288.5793,288.6802,3.0
52,5659.0,367013919.0,0.0003250486,-2.009971,0.0001740134,0.3185858,288.5793,288.696,3.0
53,5741.0,367113882.0,0.0003250486,-1.998529,0.0001740134,0.3229768,288.5793,288.7056,3.0
54,5814.0,367213844.0,0.0003250486,-2.012452,0.0001740134,0.3185399,288.5793,288.6901,3.0
55,5895.0,367313845.0,0.0003250486,-2.007183,0.0001740134,0.3181177,288.5793,288.6895,3.0
