,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,209.0,393871492.0,-2.923932,-0.006559248,-0.007343112,-7.285368,-0.01456079,-0.0185375,1.523466,0.00684878,0.0006392751,-0.2514839,-0.2514839,0.0,0.0
1,1308.0,393970134.0,-3.07284,-0.0005781419,-0.007867152,-7.226707,0.02024456,-0.01845354,11.26893,-0.007837195,0.007158592,-0.5350113,-0.5350113,0.0,0.0
2,1634.0,394070164.0,-3.218499,-0.003765545,-0.008178924,-7.17789,0.02396224,-0.0183728,23.86066,-0.01266693,0.02539469,-0.4257202,-0.4257202,0.0,0.0
3,1706.0,394170026.0,-3.361459,-0.02331991,-0.00847867,-7.109886,-0.0001996588,-0.0181252,38.22375,-0.02417421,0.05372524,-0.3596306,-0.3596306,0.0,0.0
4,1772.0,394270079.0,-3.514947,0.01367367,-0.009009501,-7.050892,0.0191834,-0.01801593,51.77164,-0.02438864,0.08822839,0.03976822,0.03976822,0.0,0.0
5,1841.0,394370036.0,-3.660732,0.02030874,-0.009494316,-6.977273,-0.001340415,-0.01775828,64.99612,0.02576967,0.1252011,0.7840157,0.7840157,0.0,0.0
6,1912.0,394470157.0,-3.824974,-0.008347413,-0.009697955,-6.911312,0.01687835,-0.01768703,78.07067,-0.006137817,0.1631113,-0.7267952,-0.7267952,0.0,0.0
7,1983.0,394570103.0,-3.980748,-0.02746446,-0.01001136,-6.844006,-0.01973154,-0.01734037,91.06574,-0.005767091,0.201392,0.006771088,0.006771088,0.0,0.0
8,2056.0,394670114.0,-4.103493,-0.01624033,-0.01039234,-6.800166,0.02219191,-0.01738907,102.4343,-0.009028653,0.2397317,0.04091263,0.04091263,0.0,0.0
9,2125.0,394770120.0,-4.103289,0.01397017,-0.01050537,-6.801361,-0.003814978,-0.01735047,107.4388,0.03780279,0.2719645,-1.146889,-1.146889,0.0,0.0
10,2196.0,394870078.0,-4.101908,-0.02263578,-0.0103645,-6.802197,-0.002562463,-0.01731932,111.9655,-0.002170183,0.2959909,-0.8211136,-0.8211136,0.0,0.0
11,2265.0,394970076.0,-4.099101,-0.007656697,-0.01043255,-6.807063,-0.005671381,-0.01730871,116.1262,0.024054,0.314872,-0.2408028,-0.2408028,0.0,0.0
12,2336.0,395070133.0,-4.089782,-0.007499844,-0.01036999,-6.814794,0.005199806,-0.01738707,117.3178,-0.01095652,0.3296878,-0.1029968,-0.1029968,0.0,0.0
13,2408.0,395170070.0,-4.086413,0.01585089,-0.01048268,-6.812555,0.01896784,-0.01745435,117.3178,0.009186494,0.3382168,-0.5356789,-0.5356789,0.0,0.0
14,2477.0,395270093.0,-4.083286,-0.0188066,-0.01030703,-6.813362,0.02403224,-0.01748922,117.3178,0.008582151,0.3427759,-0.1229286,-0.1229286,0.0,0.0
15,2548.0,395370132.0,-4.083385,0.005146067,-0.01041432,-6.814369,0.03170251,-0.01751892,117.3178,0.01628643,0.3452317,-0.522995,-0.522995,0.0,0.0
16,2617.0,395470104.0,-4.091784,-0.001127337,-0.01040443,-6.814657,0.0148498,-0.01742714,117.3178,0.01113218,0.3465708,-1.01757,-1.01757,0.0,0.0
17,2692.0,395570083.0,-4.077779,-0.01385093,-0.01039058,-6.818288,0.01673828,-0.01745267,116.9732,0.02428542,0.347261,-0.3722191,-0.3722191,0.0,0.0
18,2763.0,395670118.0,-3.954172,-0.02248181,-0.009980651,-6.868156,-0.005591639,-0.01746626,111.2124,0.01931901,0.3447524,-0.2814293,-0.2814293,0.0,0.0
19,2832.0,395770093.0,-3.788916,-0.01899496,-0.009595789,-6.932609,0.02127446,-0.01773554,103.7144,0.006090679,0.3341415,-0.09937286,-0.09937286,0.0,0.0
20,2905.0,395870100.0,-2.804702,-0.001494266,-0.009231637,-7.309881,-0.002483555,-0.01779887,0.01646738,-0.01228897,0.3181469,0.1467705,0.1467705,0.0,0.0
21,2974.0,395970168.0,-2.801161,-0.01720773,-0.007062315,-7.312204,-0.005606516,-0.01862749,0.01991128,-0.01938155,0.1895265,-0.4798889,-0.4798889,0.0,0.0
22,3045.0,396070101.0,-2.801278,-0.008506204,-0.007095599,-7.316974,0.01599628,-0.01870414,0.01986805,-0.0173068,0.1016873,-0.5458832,-0.5458832,0.0,0.0
23,3116.0,396170153.0,-2.792734,-0.004860945,-0.007122577,-7.322162,0.01343111,-0.0186962,0.01979529,-0.01623467,0.05452621,0.2667427,0.2667427,0.0,0.0
24,3186.0,396270082.0,-2.791304,0.00357239,-0.007141667,-7.326556,0.01278766,-0.01866102,0.01984747,0.002792764,0.0292579,0.4079819,0.4079819,0.0,0.0
25,3256.0,396370100.0,-2.79186,-0.01933597,-0.006996358,-7.317684,0.008435217,-0.01869656,0.01954427,0.007460777,0.01571162,-0.1563072,-0.1563072,0.0,0.0
26,3325.0,396470098.0,-2.790691,0.00778374,-0.007650079,-7.323904,-0.00890525,-0.01997752,0.0225213,0.006129161,0.008535072,-1.331139,-1.331139,0.0,0.0
27,3397.0,396570143.0,-2.79395,-0.002296842,-0.007906106,-7.326509,0.0237211,-0.02093579,0.02342952,-0.01288138,0.004646061,-0.9189606,-0.9189606,0.0,0.0
28,3468.0,396670125.0,-2.790064,-0.028064,-0.007996227,-7.330873,0.008657002,-0.0212551,0.02561164,-0.01567287,0.002555403,-1.008415,-1.008415,0.0,0.0
29,3540.0,396770182.0,-2.78566,-0.02379106,-0.00805884,-7.330626,0.02208199,-0.0215312,0.03631012,-0.03127408,0.001456648,-0.720787,-0.720787,0.0,0.0
30,3612.0,396870101.0,-2.782873,0.03601035,-0.008335518,-7.32688,0.01171052,-0.02161961,0.01956196,0.1365505,0.0007999172,-0.02326965,-0.02326965,0.0,0.0
31,3681.0,396970089.0,-2.781678,-0.02957158,-0.008110517,-7.330215,0.00929938,-0.02162489,0.05452026,-0.291027,0.0005143786,0.00705719,0.00705719,0.0,0.0
32,3751.0,397070120.0,-2.767802,-0.01269488,-0.008188174,-7.332586,-0.0185072,-0.02159826,0.03987225,0.3836671,0.0004241854,-0.3601074,-0.3601074,0.0,0.0
33,3823.0,397170155.0,-2.790765,0.03304527,-0.008301975,-7.327724,0.006419882,-0.0216783,-0.01428076,-0.2745773,-5.555354e-05,-1.390839,-1.390839,0.0,0.0
34,3892.0,397270099.0,-2.761917,-0.06033958,-0.008057799,-7.334805,0.03506717,-0.02182037,0.06856949,0.09367698,0.0003523972,-0.3787041,-0.3787041,0.0,0.0
35,3963.0,397370125.0,-2.784851,0.02612294,-0.008268039,-7.327088,-0.003063803,-0.02169946,0.02052885,-0.05351755,5.450319e-05,-0.3155708,-0.3155708,0.0,0.0
36,4033.0,397470167.0,-2.761,0.002137448,-0.008272554,-7.335149,0.03144925,-0.0218227,0.03843759,0.07968318,0.0001533429,0.5106926,0.5106926,0.0,0.0
37,4103.0,397570102.0,-2.780287,0.04297489,-0.008357426,-7.334586,0.006120733,-0.02173381,0.04807111,-0.1534074,0.0001315382,-0.2231598,-0.2231598,0.0,0.0
38,4176.0,397670130.0,-2.769714,-0.01668118,-0.008170314,-7.335705,-0.01648581,-0.02166747,0.02708167,0.2163978,0.0001108923,-1.125145,-1.125145,0.0,0.0
39,4245.0,397770087.0,-2.775172,0.001378977,-0.008179263,-7.3298,0.003322148,-0.02173289,0.04227782,-0.2688629,7.639427e-05,-0.1424789,-0.1424789,0.0,0.0
