,0,1,2,3,4,5,6,7,8,9,10
0,1307.0,393970129.0,0.0,0.47,0.0,1.21,261.24,260.69,0.0,0.0,3.0
1,1633.0,394070159.0,0.0,0.47,0.0,1.21,262.51,260.69,0.0,0.0,3.0
2,1705.0,394170020.0,0.0,0.47,0.0,1.21,264.53,260.69,0.0,0.0,3.0
3,1771.0,394270074.0,0.0,0.47,0.0,1.21,267.31,260.69,0.0,0.0,3.0
4,1840.0,394370017.0,0.0,0.47,0.0,1.21,270.83,260.68,0.0,0.0,3.0
5,1911.0,394470152.0,0.0,0.47,0.0,1.21,275.1,260.68,0.0,0.0,3.0
6,1982.0,394570070.0,0.0,0.47,0.0,1.21,280.12,260.68,0.0,0.0,3.0
7,2055.0,394670109.0,0.0,0.47,0.0,1.21,285.88,260.68,0.0,0.0,3.0
8,2124.0,394770115.0,0.0,0.47,0.0,1.21,291.88,260.68,0.0,0.0,3.0
9,2195.0,394870073.0,0.0,0.47,0.0,1.21,297.88,260.68,0.0,0.0,3.0
10,2264.0,394970071.0,0.0,0.47,0.0,1.21,303.88,260.68,0.0,0.0,3.0
11,2335.0,395070128.0,0.0,0.46,0.0,1.21,305.83,260.68,0.0,0.0,3.0
12,2407.0,395170065.0,0.0,0.46,0.0,1.21,305.83,260.68,0.0,0.0,3.0
13,2476.0,395270088.0,0.0,0.46,0.0,1.21,305.83,260.68,0.01,0.0,3.0
14,2547.0,395370127.0,0.0,0.46,0.0,1.21,305.83,260.68,0.01,0.0,3.0
15,2616.0,395470099.0,0.0,0.46,0.0,1.21,305.83,260.68,0.01,0.0,3.0
16,2691.0,395570077.0,0.0,0.46,0.0,1.21,305.83,260.68,0.01,0.0,3.0
17,2762.0,395670113.0,0.0,0.46,0.0,1.21,305.82,260.68,0.01,0.0,3.0
18,2831.0,395770088.0,0.0,0.46,0.0,1.21,305.8,260.68,0.01,0.0,3.0
19,2904.0,395870083.0,0.0,0.46,0.0,1.21,260.69,260.68,0.01,0.0,3.0
20,2973.0,395970144.0,0.0,0.46,0.0,1.21,260.69,260.68,0.01,0.0,3.0
21,3044.0,396070096.0,0.0,0.46,0.0,1.21,260.69,260.68,0.01,0.0,3.0
22,3115.0,396170148.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
23,3185.0,396270078.0,0.0,0.46,0.0,1.22,260.69,260.68,0.01,0.0,3.0
